Gar­den Gour­met Ve­ge­ta­ri­sche smeer­worst tuin­krui­den	Ontbijtgranen, broodbeleg, tussendoor/Pate - vegetarisch	1.79	120 g
AH Flin­ter­dun­ne ge­gril­de been­ham	Kaas, vleeswaren, delicatessen/Beenham (versafdeling)	2.45	ca. 100 g
AH Vrije uit­loop-ei­sa­la­de	Kaas, vleeswaren, delicatessen/Eiersalades (beleg)	1.73	175 g
AH To­nijn­sa­la­de	Kaas, vleeswaren, delicatessen/Vissalades (beleg)	1.99	175 g
AH Schar­rel­ei bies­look sa­la­de	Kaas, vleeswaren, delicatessen/Eiersalades (beleg)	2.0	150 g
AH Kip-ker­rie­sa­la­de	Kaas, vleeswaren, delicatessen/Vleessalades (beleg)	1.35	175 g
AH Kip-sa­té­sa­la­de	Kaas, vleeswaren, delicatessen/Vleessalades (beleg)	1.35	175 g
AH Kip ker­rie sa­la­de	Kaas, vleeswaren, delicatessen/Kipsalade (beleg)	2.0	150 g
AH Pit­ti­ge kip-ka­ram­ba sa­la­de	Kaas, vleeswaren, delicatessen/Vleessalades (beleg)	1.89	175 g
AH Sa­la­de­spe­ci­a­li­teit kip-ker­rie	Kaas, vleeswaren, delicatessen/Vleessalades (beleg)	1.98	150 g
AH Smeu­ï­ge to­nijn sa­la­de	Kaas, vleeswaren, delicatessen/Vissalades (beleg)	2.0	150 g
AH Sel­le­rie­sa­la­de	Kaas, vleeswaren, delicatessen/Sellerie salade	0.79	175 g
AH Sa­la­de­spe­ci­a­li­teit ei-bies­look	Kaas, vleeswaren, delicatessen/Eiersalades (beleg)	1.67	150 g
AH Su­ri­naam­se vrije uit­loop ei- sa­la­de	Kaas, vleeswaren, delicatessen/Eiersalades (beleg)	1.73	175 g
AH Hum­mus	Pasta, rijst, internationale keuken/Hummus (naturel)	2.0	200 g
AH Pi­kan­te hum­mus	Ontbijtgranen, broodbeleg, tussendoor/Hummus met smaakje	2.0	200 g
Ma­za Hoe­moes ve­ge­ta­risch	Pasta, rijst, internationale keuken/Hummus (naturel)	1.7	200 g
AH Zoe­te pom­poen­hum­mus	Ontbijtgranen, broodbeleg, tussendoor/Hummus met smaakje	2.0	200 g
AH Hum­mus zon­ge­droog­de to­maat	Ontbijtgranen, broodbeleg, tussendoor/Hummus met smaakje	2.0	200 g
Gar­den Gour­met Hum­mus Clas­sic	Pasta, rijst, internationale keuken/Hummus (naturel)	2.19	200 g
AH Hum­mus avo­ca­do	Ontbijtgranen, broodbeleg, tussendoor/Hummus met smaakje	2.5	200 g
AH Hum­mus ge­gril­de groen­ten	Ontbijtgranen, broodbeleg, tussendoor/Hummus met smaakje	2.5	200 g
Gar­den Gour­met Hum­mus pi­kant	Ontbijtgranen, broodbeleg, tussendoor/Hummus met smaakje	2.19	200 g
Ma­za Hoe­moes ro­de biet	Ontbijtgranen, broodbeleg, tussendoor/Hummus met smaakje	1.89	200 g
Ma­za Hoe­moes to­maat-ba­si­li­cum	Ontbijtgranen, broodbeleg, tussendoor/Hummus met smaakje	1.89	200 g
Ma­za Hoe­moes ker­rie	Ontbijtgranen, broodbeleg, tussendoor/Hummus met smaakje	1.99	200 g
AH Ver­se pes­to groen	Pasta, rijst, internationale keuken/Pesto (vers)	1.99	125 g
AH Pes­tospread	Aardappel, groente, fruit/Groentespread (vers)	2.0	90 g
Heinz Sand­wich spread na­tu­rel	Ontbijtgranen, broodbeleg, tussendoor/Groentespread	1.99	450 g
AH BASIC Groe­ne pes­to	Pasta, rijst, internationale keuken/Pesto in pot	0.91	195 g
Heinz Sand­wich spread na­tu­rel	Ontbijtgranen, broodbeleg, tussendoor/Groentespread	1.72	300 g
AH Pes­to al­la Ge­n­o­ve­se	Pasta, rijst, internationale keuken/Pesto in pot	1.79	2 x 90 g
AH Gu­a­ca­mo­le	Soepen, conserven, sauzen, smaakmakers/Dipsaus (vers)	3.0	200 g
Ma­za Mu­ham­ma­ra	Ontbijtgranen, broodbeleg, tussendoor/Groentespread	2.09	200 g
AH Ba­si­li­cum­pes­to	Pasta, rijst, internationale keuken/Pesto (vers)	3.0	100 g
Grand'Ita­lia Pes­to al­la Ge­n­o­ve­se	Pasta, rijst, internationale keuken/Pesto in pot	2.55	185 g
Heinz Sand­wich spread to­maat len­te-ui	Ontbijtgranen, broodbeleg, tussendoor/Groentespread	1.6	300 g
AH Zon­ge­droog­de to­ma­ten­ta­pe­na­de	Pasta, rijst, internationale keuken/Tapenade, bruschetta	2.0	125 g
Ba­ke Fi­ve Mi­ni paas­haas af­bak­brood­jes	Bakkerij/Oven brood (feestdagen)	1.99	8 stuks
AH Groe­ne olij­ven met knof­look	Kaas, vleeswaren, delicatessen/Olijven hapjes	2.0	165 g
AH Zon­ge­droog­de to­ma­ten	Pasta, rijst, internationale keuken/Gedroogde tomaten	1.34	295 g
AH Groe­ne olij­ven met wit­te kaas	Kaas, vleeswaren, delicatessen/Olijven hapjes	2.0	165 g
AH Ser­ra­no­ham­rol­le­tjes met room­kaas	Kaas, vleeswaren, delicatessen/Koude borrelhapjes (vlees)	2.7	100 g
AH Groe­ne olij­ven met ba­si­li­cum	Kaas, vleeswaren, delicatessen/Olijven hapjes	2.0	165 g
AH Zon­ge­droog­de to­maat­jes	Kaas, vleeswaren, delicatessen/Koude borrelhapjes (groente)	1.8	120 g
AH Groe­ne olij­ven met knof­look	Kaas, vleeswaren, delicatessen/Olijven hapjes	3.0	300 g
AH Gu­a­ca­mo­le	Soepen, conserven, sauzen, smaakmakers/Dipsaus (vers)	3.0	200 g
AH Gel­der­se ge­kook­te worst	Kaas, vleeswaren, delicatessen/Koude borrelhapjes (vlees)	2.0	170 g
AH Spaan­se fuet	Kaas, vleeswaren, delicatessen/Koude borrelhapjes (vlees)	2.7	100 g
AH Ge­vul­de schar­relei­tjes met ker­rie	Kaas, vleeswaren, delicatessen/Gevulde scharreleitjes	3.5	8 stuks
