AH Kip­bur­gers	Vlees, kip, vis, vega/Kipburger (vers)	1.79	2 stuks
AH Kip­dij­fi­let­reep­jes	Vlees, kip, vis, vega/Kipfilet - reepjes	4.0	400 g
AH Schar­rel kip kro­kant kip­schnit­zel	Vlees, kip, vis, vega/Schnitzel (kip)	3.09	200 g
AH Schar­rel kip­dij­fi­let	Vlees, kip, vis, vega/Kipfilet - stuk	3.61	ca. 380 g
AH Run­der­ge­hakt	Vlees, kip, vis, vega/Rundergehakt	3.29	500 g
Unox Gel­der­se rook­worst	Vlees, kip, vis, vega/Rookworst	2.19	285 g
AH Ma­ger run­der­ge­hakt	Vlees, kip, vis, vega/Rundergehakt	3.75	500 g
AH Run­der­ge­hakt	Vlees, kip, vis, vega/Rundergehakt	1.99	300 g
AH Ham­bur­gers	Vlees, kip, vis, vega/Hamburger (vers)	2.09	2 stuks
AH Ham­bur­gers	Vlees, kip, vis, vega/Hamburger (vers)	2.85	4 stuks
AH Run­der­vin­ken	Vlees, kip, vis, vega/Rundervinken	2.59	3 stuks
AH Half om half ge­hakt	Vlees, kip, vis, vega/Gehakt (half-om-half)	2.59	500 g
Unox Ex­tra ma­ge­re rook­worst	Vlees, kip, vis, vega/Rookworst	2.6	275 g
AH Run­der­soep­bal­le­tjes	Vlees, kip, vis, vega/Soepvlees (rund)	2.19	ca. 250 g
AH Bi­o­lo­gisch Run­der­ge­hakt	Vlees, kip, vis, vega/Rundergehakt	3.11	ca. 300 g
AH Run­der­ge­hakt	Vlees, kip, vis, vega/Rundergehakt	5.25	900 g
AH Run­der­ge­hakt	Vlees, kip, vis, vega/Rundergehakt	3.29	500 g
AH Ma­ger run­der­ge­hakt	Vlees, kip, vis, vega/Rundergehakt	3.75	500 g
AH Run­der­ge­hakt	Vlees, kip, vis, vega/Rundergehakt	1.99	300 g
AH Ham­bur­gers	Vlees, kip, vis, vega/Hamburger (vers)	2.09	2 stuks
AH Ham­bur­gers	Vlees, kip, vis, vega/Hamburger (vers)	2.85	4 stuks
AH Run­der­vin­ken	Vlees, kip, vis, vega/Rundervinken	2.59	3 stuks
AH Run­der­soep­bal­le­tjes	Vlees, kip, vis, vega/Soepvlees (rund)	2.19	ca. 250 g
AH Bi­o­lo­gisch Run­der­ge­hakt	Vlees, kip, vis, vega/Rundergehakt	3.11	ca. 300 g
AH Run­der­ge­hakt	Vlees, kip, vis, vega/Rundergehakt	5.25	900 g
AH Bi­o­lo­gisch Run­der­ge­hakt	Vlees, kip, vis, vega/Rundergehakt	5.2	ca. 500 g
AH Run­der­braad­worst	Vlees, kip, vis, vega/Worst (rundvlees)	2.99	4 stuks
AH Ge­krui­de run­der­chi­po­la­ta	Vlees, kip, vis, vega/Worst (rundvlees)	3.39	8 stuks
AH Half om half ge­hakt	Vlees, kip, vis, vega/Gehakt (half-om-half)	2.59	500 g
AH Sla­vin­ken	Vlees, kip, vis, vega/Slavinken	1.49	2 stuks
AH Ge­pa­neer­de schnit­zel	Vlees, kip, vis, vega/Schnitzel	2.55	2 stuks
AH Var­kens­braad­worst	Vlees, kip, vis, vega/Worst (varkensvlees)	2.5	4 stuks
AH Sho­ar­ma­reep­jes	Vlees, kip, vis, vega/Shoarma	2.09	500 g
AH Ver­se worst	Vlees, kip, vis, vega/Worst (varkensvlees)	3.09	per stuk
AH Spek­lap à la mi­nu­te na­tu­rel	Vlees, kip, vis, vega/Speklappen	2.45	5 stuks
AH Zi­geu­ner­schnit­zel	Vlees, kip, vis, vega/Schnitzel	2.99	2 stuks
AH Sho­ar­ma­reep­jes	Vlees, kip, vis, vega/Shoarma	3.25	850 g
AH Var­kens­ge­hakt cor­don bleu	Vlees, kip, vis, vega/Cordon bleu	2.29	280 g
AH Var­kens­braad­worst	Vlees, kip, vis, vega/Worst (varkensvlees)	1.56	2 stuks
AH Half om half ge­hakt	Vlees, kip, vis, vega/Gehakt (half-om-half)	1.75	300 g
AH Kal­koen­fi­let à la mi­nu­te	Vlees, kip, vis, vega/Kalkoen - stuk	3.72	ca. 260 g
AH Kal­koen­fi­let schnit­zel	Vlees, kip, vis, vega/Kalkoen - stuk	3.07	ca. 250 g
AH Kal­koen­fi­let	Vlees, kip, vis, vega/Kalkoen - stuk	3.06	ca. 200 g
AH Kal­koen­fi­let blok­jes	Vlees, kip, vis, vega/Kalkoen - blokjes	4.0	300 g
AH Kal­koen­dij­fi­let reep­jes	Vlees, kip, vis, vega/Kalkoen - reepjes	3.69	300 g
AH Kal­koen­fi­let haas­je	Vlees, kip, vis, vega/Kalkoen - reepjes	2.17	ca. 140 g
Tas­te of the World Mer­gu­ez worst­jes	Vlees, kip, vis, vega/Diepvries kalkoen	3.96	ca. 330 g
Tas­te of the World He­le kal­koen pan­klaar	Vlees, kip, vis, vega/Diepvries kalkoen	17.98	ca. 2400 g
